//**************************************************************************************************************
//File Type: Amalfi PA Test Measurment Data Log File
//Log File Format Version: 1
//Test Type:Auto Script
//Serial Number: xAM7801-TA5-T-U-CG-SN006
//Part Number (Chip ID): Unknown
//Chip Model: Chiarlo TxM 7801
//DUT Test GUI Version Number: Rev. A1.00.293
//FPGA Version Number: 21
//PICC Version Number: 13
//Station Number: 2
//Test Date & Time: 02-20-2010 21:34:35
//Temperature Soak Time (in secs): Test @ Ambient
//Script File Name: l:\Lab & Testing\XS\TXM\Spec Test\AM7801\AM7801_TA5_Reg1_X3_Spurs_ATR2_HPath.txt
//ATR Correlation Log File Not Found.
//Comment:
//**************************************************************************************************************
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	VRamp Search Directory	VRamp Search Start(Volt)	VRamp Search Stop(Volt)	TRP Target Power(dBm)	Waveform File Name	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment	
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.83	0.0	0.0	-8.33	824.0	3.5	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	44.58042	44.573652	32.856723	7.846723	1.23916	3.494627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-20-2010	21:34:48	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.9	0.0	0.0	-8.35	837.0	3.5	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	46.049309	46.042591	33.009877	7.929877	1.24272	3.49455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-20-2010	21:34:50	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.87	0.0	0.0	-8.37	849.0	3.5	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	46.208134	46.201454	33.029305	7.979305	1.24403	3.494469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-20-2010	21:34:52	No comments(this is a filler only).
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	VRamp Search Directory	VRamp Search Start(Volt)	VRamp Search Stop(Volt)	TRP Target Power(dBm)	Waveform File Name	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Is Spur Harmonics (-99 = no)	Spur Number	Range Table of Spur	Frequency of Spur (MHz)	Amplitude of Spur (dBm)	Absolute Limit (dBm)	Pass/Fail(1|0)	Spur Pass Threshold (dBm)	Vbat_I(Amp)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment	
2	Spurious (ETSI reduced)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPSA	LBIn	-21.97	0.0	0.0	-8.33	824.0	3.5	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloV3_9Nov09\LB_pwrsel00\r.1.370v_ramp.txt	02-20-2010	21:35:15	No comments(this is a filler only).
//Spurious Data					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-99	1	3	823.9002	18.233	-46.0	0	-36	 	 	 	 	 	 
//Spurious Data					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-99	2	3	823.6672	-33.406	-46.0	0	-36	 	 	 	 	 	 
//Spurious Data					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-99	3	3	822.7188	-43.518	-46.0	1	-36	 	 	 	 	 	 
//Spurious Data					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-99	4	5	813.2845	-42.437	-46.0	1	-36	 	 	 	 	 	 
//Spurious Data					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	5	10	1649.331	-23.483	-46.0	1	-36	 	 	 	 	 	 
