//**************************************************************************************************************
//File Type: Amalfi PA Test Measurment Data Log File
//Log File Format Version: 1
//Test Type:Auto Script
//Serial Number: xAM8901-TB0C-T-U-CB-SN004
//Part Number (Chip ID): AM8901 B0C
//Chip Model: Chiarlo 8901 EDGE PAM
//DUT Test GUI Version Number: Rev. A1.00.292
//FPGA Version Number: 21
//PICC Version Number: 13
//Station Number: 2
//Test Date & Time: 02-17-2010 17:42:42
//Temperature Soak Time (in secs): Test @ Ambient
//Script File Name: l:\Lab & Testing\XS\PAM\AM8901 Spec Test\GSM\AM8901_B0C_Reg27_X3_Quadband_Nominal_LB_long.script
//ATR Correlation Log File Not Found.
//Comment:
//**************************************************************************************************************																																																						
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	VRamp Search Directory	VRamp Search Start(Volt)	VRamp Search Stop(Volt)	TRP Target Power(dBm)	Waveform File Name	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	Null	0.85	1.8	34.2	GSM_WFM1.wfm	L1B	LBIn	-33.91	0	0	-8.33	824	4.5	0	0	0	1	0	0	0	1	0	53.799613	53.797667	36.08717	2.17717	1.6803	4.493151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	200b	25	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloV3_9Nov09\LB_pwrsel00\r.1.790v_ramp.txt	2/17/2010	17:46:48	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	Null	0.85	1.8	34.2	GSM_WFM1.wfm	L1B	LBIn	-33.91	0	0	-8.33	824	3.5	0	0	0	1	0	0	0	1	0	56.615338	56.61285	35.240451	1.330451	1.69009	3.493021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	b	25	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloV3_9Nov09\LB_pwrsel00\r.1.790v_ramp.txt	2/17/2010	17:46:49	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	Null	0.85	1.8	34.2	GSM_WFM1.wfm	L1B	LBIn	-33.91	0	0	-8.33	824	2.7	0	0	0	1	0	0	0	1	0	55.387248	55.383194	33.025394	-0.884606	1.34547	2.693119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	c00b	25	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloV3_9Nov09\LB_pwrsel00\r.1.790v_ramp.txt	2/17/2010	17:46:49	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	Null	0.85	1.8	34.2	GSM_WFM1.wfm	L1B	LBIn	-33.91	0	0	-8.33	824	4.5	3	0	0	1	0	0	0	1	0	53.686992	53.683113	36.080803	2.170803	1.68134	4.4932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	200b	25	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloV3_9Nov09\LB_pwrsel00\r.1.790v_ramp.txt	2/17/2010	17:46:51	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	Null	0.85	1.8	34.2	GSM_WFM1.wfm	L1B	LBIn	-33.91	0	0	-8.33	824	3.5	3	0	0	1	0	0	0	1	0	56.805803	56.800829	35.247038	1.337038	1.68698	3.493021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	b	25	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloV3_9Nov09\LB_pwrsel00\r.1.790v_ramp.txt	2/17/2010	17:46:52	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	Null	0.85	1.8	34.2	GSM_WFM1.wfm	L1B	LBIn	-33.91	0	0	-8.33	824	2.7	3	0	0	1	0	0	0	1	0	55.474197	55.466079	33.016355	-0.893645	1.34048	2.693296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	c00b	25	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloV3_9Nov09\LB_pwrsel00\r.1.790v_ramp.txt	2/17/2010	17:46:53	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	Null	0.85	1.8	34.2	GSM_WFM1.wfm	L1B	LBIn	-33.91	0	0	-8.33	824	4.5	6	0	0	1	0	0	0	1	0	53.695102	53.687356	36.078598	2.168598	1.68025	4.493153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	200b	25	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloV3_9Nov09\LB_pwrsel00\r.1.790v_ramp.txt	2/17/2010	17:46:55	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	Null	0.85	1.8	34.2	GSM_WFM1.wfm	L1B	LBIn	-33.91	0	0	-8.33	824	3.5	6	0	0	1	0	0	0	1	0	56.910112	56.900182	35.252416	1.342416	1.68593	3.493113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	b	25	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloV3_9Nov09\LB_pwrsel00\r.1.790v_ramp.txt	2/17/2010	17:46:56	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	Null	0.85	1.8	34.2	GSM_WFM1.wfm	L1B	LBIn	-33.91	0	0	-8.33	824	2.7	6	0	0	1	0	0	0	1	0	55.500786	55.484562	33.011371	-0.898629	1.33834	2.693218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	c00b	25	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloV3_9Nov09\LB_pwrsel00\r.1.790v_ramp.txt	2/17/2010	17:46:56	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	Null	0.85	1.8	34.2	GSM_WFM1.wfm	L1B	LBIn	-33.87	0	0	-8.35	837	4.5	0	0	0	1	0	0	0	1	0	51.917924	51.915885	35.708097	1.838097	1.59554	4.4935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	200b	25	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloV3_9Nov09\LB_pwrsel00\r.1.790v_ramp.txt	2/17/2010	17:46:59	No comments(this is a filler only).
