s11_ANT_phi, s11_ANT_mag, ControlSignals, Freq(MHz), HB_LB, Phase(degree), Pwr In(dBm), Regmap, SN, Serial Number, Sub-band, Temp(C), Test Freq(MHz), TestName, VSWR, Vbat(Volt), Vramp Voltage, logfilename, record_num, SN_fld0, Test Date & Time, chipid, 
332.62, 0.4007, 00010000 (TRX1)   [0:08], 401.63, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 153.0, xxxx, 14oct15_0913, , 
332.7, 0.39865, 00010000 (TRX1)   [0:08], 403.61, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 154.0, xxxx, 14oct15_0913, , 
332.77, 0.39659, 00010000 (TRX1)   [0:08], 405.6, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 155.0, xxxx, 14oct15_0913, , 
332.85, 0.39454, 00010000 (TRX1)   [0:08], 407.58, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 156.0, xxxx, 14oct15_0913, , 
332.93, 0.39249, 00010000 (TRX1)   [0:08], 409.57, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 157.0, xxxx, 14oct15_0913, , 
333.01, 0.39044, 00010000 (TRX1)   [0:08], 411.55, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 158.0, xxxx, 14oct15_0913, , 
333.09, 0.38839, 00010000 (TRX1)   [0:08], 413.54, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 159.0, xxxx, 14oct15_0913, , 
333.16, 0.38634, 00010000 (TRX1)   [0:08], 415.52, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 160.0, xxxx, 14oct15_0913, , 
333.24, 0.38429, 00010000 (TRX1)   [0:08], 417.51, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 161.0, xxxx, 14oct15_0913, , 
333.32, 0.38224, 00010000 (TRX1)   [0:08], 419.49, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 162.0, xxxx, 14oct15_0913, , 
333.4, 0.38019, 00010000 (TRX1)   [0:08], 421.47, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 163.0, xxxx, 14oct15_0913, , 
