   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       39    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.004    0.004    0.029    0.029 CalibrateCorrection.py:1017(scale_sparams_network)
     3202    0.008    0.000    0.025    0.000 CalibrateCorrection.py:1037(scale_sparameter)
        1    0.000    0.000    0.000    0.000 CalibrateCorrection.py:1276(get_s21_db_at_freq)
        2    0.000    0.000    0.000    0.000 CalibrateCorrection.py:1334(get_sparam_data_from_idx)
        1    0.000    0.000    0.007    0.007 CalibrateCorrection.py:1365(get_sparam_files)
        1    0.099    0.099    0.298    0.298 CalibrateCorrection.py:147(mwavepy_load_file)
        1    0.000    0.000    0.006    0.006 CalibrateCorrection.py:1646(get_board_trace_file)
        1    0.000    0.000    0.000    0.000 CalibrateCorrection.py:1753(get_frequency)
        1    0.000    0.000    0.339    0.339 CalibrateCorrection.py:1786(calibrate_s21)
        1    0.000    0.000    0.000    0.000 CalibrateCorrection.py:2074(board_trace_temperature_correction)
        1    0.012    0.012    0.012    0.012 CalibrateCorrection.py:337(extend_sparam_values)
        1    0.000    0.000    0.302    0.302 CalibrateCorrection.py:550(mwavepy_read_touchstone)
        1    0.000    0.000    0.339    0.339 CalibrateCorrection.py:626(calibrate_s21_mwavepy)
        1    0.000    0.000    0.000    0.000 CalibrateCorrection.py:664(make_freq_range_consistent)
        1    0.000    0.000    0.000    0.000 CalibrateCorrection.py:723(change_freq_range)
        5    0.000    0.000    0.000    0.000 CalibrateCorrection.py:753(get_sparam_name)
        1    0.000    0.000    0.302    0.302 CalibrateCorrection.py:780(load_sparam_files)
        1    0.000    0.000    0.302    0.302 CalibrateCorrection.py:825(load_sparam_data_from_name)
        1    0.000    0.000    0.030    0.030 CalibrateCorrection.py:914(cascade_sparams)
        5    0.000    0.000    0.000    0.000 DVT_Board_Amalfi.py:1004(get_txen_bitnum)
        5    0.000    0.000    0.000    0.000 DVT_Board_Amalfi.py:1016(update_txen)
        4    0.000    0.000    0.191    0.048 DVT_Board_Amalfi.py:1089(set_ControlSignals)
        8    0.000    0.000    0.000    0.000 DVT_Board_Amalfi.py:1171(setup_rffe_control_turn_onoff_enable)
        4    0.000    0.000    0.159    0.040 DVT_Board_Amalfi.py:1188(setup_rffe_control_mode)
        4    0.000    0.000    0.039    0.010 DVT_Board_Amalfi.py:1240(write_rffe_setup_trigger)
        4    0.000    0.000    0.000    0.000 DVT_Board_Amalfi.py:1262(write_rffe_output_trigger)
        4    0.000    0.000    0.022    0.006 DVT_Board_Amalfi.py:1282(writePACtrlAllSigs)
        8    0.000    0.000    0.026    0.003 DVT_Board_Amalfi.py:1384(set_clockdiv)
        8    0.000    0.000    0.027    0.003 DVT_Board_Amalfi.py:1395(set_serial_shift_length)
       84    0.002    0.000    0.158    0.002 DVT_Board_Amalfi.py:1439(wr)
       84    0.003    0.000    0.031    0.000 DVT_Board_Amalfi.py:1456(wr_core)
       84    0.001    0.000    0.122    0.001 DVT_Board_Amalfi.py:1522(rd_checksum)
        8    0.000    0.000    0.125    0.016 DVT_Board_Amalfi.py:2298(register_write)
        8    0.001    0.000    0.125    0.016 DVT_Board_Amalfi.py:2412(register_rw_core)
        8    0.000    0.000    0.058    0.007 DVT_Board_Amalfi.py:2976(register_write_rffe_ifc)
        3    0.000    0.000    0.129    0.043 DVT_Board_Amalfi.py:970(enable_txen)
        1    0.000    0.000    0.003    0.003 Dummy_Test.py:54(Dummy_Test_STOP)
        1    0.000    0.000    0.003    0.003 Dummy_Test.py:64(Dummy_Test_SETUP)
        1    0.000    0.000    0.504    0.504 Dummy_Test.py:7(Dummy_Test_RUN)
       16    0.000    0.000    0.021    0.001 Logger.py:71(write)
       23    0.000    0.000    0.000    0.000 NullInstrument.py:238(get)
        3    0.000    0.000    0.000    0.000 NullInstrument.py:272(__getattr__)
        3    0.000    0.000    0.000    0.000 NullInstrument.py:299(dummy_method)
        1    0.000    0.000    0.001    0.001 PSU_Virtual.py:27(set_VbatOnOff)
        1    0.000    0.000    0.000    0.000 PSU_Virtual.py:59(check_Vbat_alive)
        1    0.000    0.000    0.066    0.066 PypatGui.pyw:2051(on_TestmodeEntry_select)
        1    0.000    0.000    1.816    1.816 PypatGui.pyw:2105(on_RunBtn_mouseClick)
        1    0.000    0.000    0.013    0.013 PypatGui.pyw:2301(stop_button_function)
        3    0.000    0.000    0.000    0.000 PypatGui.pyw:2379(set_test_run_state)
        3    0.000    0.000    0.009    0.003 PypatGui.pyw:2891(stop_thread_check)
        2    0.000    0.000    0.000    0.000 PypatGui.pyw:3112(get_dut_info)
        1    0.000    0.000    0.000    0.000 PypatGui.pyw:3434(update_pa_registers)
        1    0.000    0.000    0.000    0.000 PypatGui.pyw:3738(set_pypat_run_mode)
        4    0.000    0.000    0.000    0.000 PypatGui.pyw:3744(get_pypat_run_mode)
       88    0.000    0.000    0.001    0.000 PypatGui.pyw:3755(write_scpi_log)
       84    0.001    0.000    0.001    0.000 PypatGui.pyw:3767(write_dvt_log)
        1    0.000    0.000    0.000    0.000 PypatGui.pyw:3970(substitute_sn_date)
        1    0.000    0.000    0.115    0.115 PypatGui.pyw:4010(updateStatus)
       20    0.001    0.000    0.033    0.002 PypatGui.pyw:4689(get_mode_from_control_signals)
        3    0.000    0.000    0.000    0.000 PypatGui.pyw:4837(sec_to_hms)
       16    0.000    0.000    0.021    0.001 PypatGui.pyw:4880(write_console)
        4    0.000    0.000    0.004    0.001 PypatGui.pyw:4931(write_prompt)
        2    0.000    0.000    0.000    0.000 PypatGui.pyw:4990(evalPriority)
        2    0.000    0.000    0.098    0.049 PypatGui.pyw:5028(prnm)
