//**************************************************************************************************************
//File Type: Amalfi PA Test Measurment Data Log File
//Log File Format Version: 1
//Test Type:Auto Script
//Serial Number: xAM7801-TA5-T-U-CG-SN005S
//Part Number (Chip ID): Unknown
//Chip Model: Chiarlo TxM 7801
//DUT Test GUI Version Number: Rev. A1.00.293
//FPGA Version Number: 21
//PICC Version Number: 13
//Station Number: 2
//Test Date & Time: 02-21-2010 19:1:55
//Temperature Soak Time (in secs): Test @ Ambient
//Script File Name: l:\Lab & Testing\XS\TXM\Spec Test\AM7801\AM7801_TA5_Reg1_X3_Spurs_ATR2_HPath.txt
//ATR Correlation Log File Not Found.
//Comment:
//**************************************************************************************************************
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	VRamp Search Directory	VRamp Search Start(Volt)	VRamp Search Stop(Volt)	TRP Target Power(dBm)	Waveform File Name	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment	
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.83	0.0	0.0	-8.33	824.0	4.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	35.738898	35.73628	33.021262	8.011262	1.24827	4.49445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:08	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.83	0.0	0.0	-8.33	824.0	3.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	44.337771	44.334454	32.930989	7.920989	1.26751	3.494408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:09	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.83	0.0	0.0	-8.33	824.0	2.7	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	44.791391	44.787058	31.814413	6.804413	1.25865	2.693654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:09	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.83	0.0	0.0	-8.33	824.0	4.5	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	35.726334	35.721119	33.027331	8.017331	1.25043	4.49454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:11	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.83	0.0	0.0	-8.33	824.0	3.5	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	44.356334	44.349714	32.931257	7.921257	1.26705	3.49443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:12	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.83	0.0	0.0	-8.33	824.0	2.7	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	44.797884	44.789217	31.803944	6.793944	1.25546	2.693605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:13	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.83	0.0	0.0	-8.33	824.0	4.5	6.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	35.772671	35.762259	33.030073	8.020073	1.2496	4.494537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:15	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.83	0.0	0.0	-8.33	824.0	3.5	6.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	44.343858	44.330653	32.930895	7.920895	1.26729	3.49446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:16	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.83	0.0	0.0	-8.33	824.0	2.7	6.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	44.793056	44.775749	31.799813	6.789813	1.25443	2.693544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:16	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	Null	0.94	1.22	33.4	GSM_WFM1.wfm	LBHBPWRMTR	LBIn	-24.9	0.0	0.0	-8.35	837.0	4.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	37.261589	37.259007	33.241675	8.161675	1.25953	4.494668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	0	ffff	0.0	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.370v_ramp.txt	02-21-2010	19:02:19	No comments(this is a filler only).
