//**************************************************************************************************************
//File Type: Amalfi PA Test Measurment Data Log File
//Log File Format Version: 1
//Test Type:Auto Script
//Serial Number: xAM8901_B0C_T_U_CB_SN002
//Part Number (Chip ID): AM8901 B0C
//Chip Model: Chiarlo 8901 EDGE PAM
//DUT Test GUI Version Number: Rev. A1.00.287
//FPGA Version Number: 21
//PICC Version Number: 13
//Station Number: 2
//Test Date & Time: 02-03-2010 13:50:43
//Temperature Soak Time (in secs): Test @ Ambient
//Script File Name: l:\Lab & Testing\XS\PAM\AM8901 Spec Test\GSM\AM8901_B0C_Reg27_X3_Quadband_Nominal_LB.script
//ATR Correlation Log File Not Found.
//Comment:
//**************************************************************************************************************																																																	
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.91	0	0	-8.33	824	3.5	3	0	0	1	0	0	0	1	0	57.389683	57.384787	35.360405	1.370405	1.71399	3.492998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.790v_ramp.txt	2/3/2010	13:52:29	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.87	0	0	-8.35	837	3.5	3	0	0	1	0	0	0	1	0	56.838051	56.833206	35.343642	1.393642	1.724	3.492913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.790v_ramp.txt	2/3/2010	13:52:31	No comments(this is a filler only).
1	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.94	0	0	-8.37	849	3.5	3	0	0	1	0	0	0	1	0	57.533735	57.528865	35.354334	1.334334	1.7073	3.493019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.790v_ramp.txt	2/3/2010	13:52:33	No comments(this is a filler only).
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
2	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.91	0	0	-8.33	824	3.5	3	0	0	1	0	0	0	1	0	57.342833	57.337936	35.355471	1.365471	1.71351	3.492861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.780v_ramp.txt	2/3/2010	13:52:45	No comments(this is a filler only).
2	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.87	0	0	-8.35	837	3.5	3	0	0	1	0	0	0	1	0	56.77779	56.772942	35.33611	1.38611	1.7228	3.492993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.780v_ramp.txt	2/3/2010	13:52:47	No comments(this is a filler only).
2	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.94	0	0	-8.37	849	3.5	3	0	0	1	0	0	0	1	0	57.520117	57.515243	35.348988	1.328988	1.70558	3.493067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.780v_ramp.txt	2/3/2010	13:52:49	No comments(this is a filler only).
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
3	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.91	0	0	-8.33	824	3.5	3	0	0	1	0	0	0	1	0	57.330106	57.3252	35.346417	1.356417	1.71031	3.492883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.760v_ramp.txt	2/3/2010	13:53:01	No comments(this is a filler only).
3	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.87	0	0	-8.35	837	3.5	3	0	0	1	0	0	0	1	0	56.712166	56.707315	35.328411	1.378411	1.7218	3.492868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.760v_ramp.txt	2/3/2010	13:53:03	No comments(this is a filler only).
3	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\AM8901\AM8901_B0C_v027.map	Polar EDGE	SSSZ1111	L1B	LBIn	-33.94	0	0	-8.37	849	3.5	3	0	0	1	0	0	0	1	0	57.431211	57.426333	35.339619	1.319619	1.70461	3.492922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	120	100b	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.760v_ramp.txt	2/3/2010	13:53:05	No comments(this is a filler only).
