//**************************************************************************************************************
//File Type: Amalfi PA Test Measurment Data Log File
//Log File Format Version: 1
//Test Type:Auto Script
//Serial Number: xx
//Part Number (Chip ID): AM8802 A4 SMIC
//Chip Model: Chiarlo TxM 7801
//DUT Test GUI Version Number: Rev. A1.00.287
//FPGA Version Number: 21
//PICC Version Number: 13
//Station Number: 4
//Test Date & Time: 01-26-2010 15:55:43
//Temperature Soak Time (in secs): Test @ Ambient
//Script File Name: l:\Lab & Testing\ATR_Chiarlo\scripts\Load-pull\7801_Contour_Reg4_4Freq_LH.txt
//ATR Correlation Log File Not Found.
//Comment:l:\Lab & Testing\ATR_Chiarlo\scripts\Load-pull\7801_Contour_Reg4_4Freq_LH.txt
//**************************************************************************************************************
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment	
1	Output Power & Efficiency	l:\Lab & Testing\ATR_Chiarlo\register_maps\A1\Chiarlo_A1B_v004_lbhv.map	GSM	SSSZ1101	H1B	LBIn	-23.0	0.0	0.0	-4.95	1710.0	3.5	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	35.518251	35.4962	30.120295	6.790295	0.828622	3.493184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	1a0	13	           	l:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\HB_pwrsel00\chiarloX3.1.250v_ramp.txt	01-26-2010	15:56:05	122
1	Output Power & Efficiency	l:\Lab & Testing\ATR_Chiarlo\register_maps\A1\Chiarlo_A1B_v004_lbhv.map	GSM	SSSZ1101	H1B	LBIn	-23.1	0.0	0.0	-4.95	1850.0	3.5	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	35.416224	35.393457	29.968903	6.538903	0.802513	3.4933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	1a0	13	           	l:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\HB_pwrsel00\chiarloX3.1.250v_ramp.txt	01-26-2010	15:56:13	122
1	Output Power & Efficiency	l:\Lab & Testing\ATR_Chiarlo\register_maps\A1\Chiarlo_A1B_v004_lbhv.map	GSM	SSSZ1101	H1B	LBIn	-23.2	0.0	0.0	-5.11	1910.0	3.5	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	33.714753	33.69294	29.781107	6.251107	0.807369	3.493161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	1a0	13	           	l:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\HB_pwrsel00\chiarloX3.1.250v_ramp.txt	01-26-2010	15:56:20	122
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment	
2	Output Power & Efficiency	l:\Lab & Testing\ATR_Chiarlo\register_maps\A1\Chiarlo_A1B_v004_lbhv.map	GSM	SSSZ1001	L1B	LBIn	-22.3	0.0	0.0	-9.31	824.0	3.5	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	43.070578	43.065417	32.904738	10.424738	1.29776	3.492197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	1a0	13	           	l:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.410v_ramp.txt	01-26-2010	15:56:31	132
2	Output Power & Efficiency	l:\Lab & Testing\ATR_Chiarlo\register_maps\A1\Chiarlo_A1B_v004_lbhv.map	GSM	SSSZ1001	L1B	LBIn	-22.4	0.0	0.0	-9.0	880.0	3.5	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	47.02952	47.023853	33.190167	10.610167	1.26922	3.492281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disabled	1a0	13	           	l:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.410v_ramp.txt	01-26-2010	15:56:41	132
//**************************************************************************************************************
//File Type: Amalfi PA Test Measurment Data Log File
//Log File Format Version: 1
//Test Type:Auto Script
